iter	RMSE
0	277.055962
1	276.0655176
2	275.4729725
3	274.788485
4	273.7245876
5	272.6166315
6	271.6806912
7	270.8158464
8	270.0211443
9	269.225833
10	268.4685332
11	267.9529454
12	266.9429122
13	266.5174364
14	265.554704
15	264.6145986
16	263.8486234
17	262.9619632
18	262.228187
19	261.4857073
20	261.0209472
21	260.4639145
22	259.8024094
23	258.8105156
24	258.0257065
25	257.3459173
26	256.5150314
27	255.905956
28	255.3245605
29	254.6828265
30	254.2231916
31	253.524451
32	253.2856779
33	252.6296453
34	252.2628733
35	251.6207262
36	251.2058975
37	250.5489629
38	249.7215204
39	249.1115156
40	248.7397353
41	248.2518418
42	247.6363611
43	247.0328805
44	246.5378064
45	246.1911453
46	245.7476531
47	245.1514378
48	244.5862284
49	244.3524291
50	243.5025594
51	242.8182033
52	242.4142795
53	242.0001783
54	241.4055247
55	240.8137255
56	239.8715173
57	239.4626732
58	239.0524808
59	238.7802793
60	238.3307353
61	237.8718972
62	237.4702352
63	236.8778066
64	236.4124549
65	235.8984549
66	235.3953713
67	234.9890508
68	234.6589603
69	234.3521364
70	233.6720709
71	233.0558633
72	232.7763654
73	232.3098918
74	232.0877254
75	231.5066412
76	230.7725142
77	230.3801392
78	229.790883
79	229.2232142
80	228.8194835
81	228.0968058
82	227.7866407
83	227.5681204
84	226.9804999
85	226.3275661
86	225.9619104
87	225.535472
88	224.9853766
89	224.3668994
90	223.846698
91	223.3508228
92	222.7421568
93	222.3708401
94	221.9834118
95	221.6539334
96	221.1655418
97	220.8994607
98	220.550347
99	220.2988533
100	219.7315056
101	219.338206
102	219.0187669
103	218.3586283
104	217.8822246
105	217.3719227
106	217.0599868
107	216.5622864
108	216.0529114
109	215.6551371
110	215.4200036
111	214.9709518
112	214.5569436
113	214.1231626
114	213.6450404
115	213.2417953
116	212.8926472
117	212.4865474
118	211.9650004
119	211.476947
120	211.1670616
121	210.9050597
122	210.6523108
123	210.1822302
124	209.6436429
125	209.0062418
126	208.6650897
127	208.3199829
128	207.7659744
129	207.3628796
130	206.7277453
131	206.2853524
132	205.9048796
133	205.37536
134	204.8202367
135	204.1398927
136	203.8875753
137	203.4887554
138	203.2333255
139	203.0892517
140	202.4497686
141	202.1200592
142	201.6900009
143	201.2217284
144	200.9935376
145	200.5018669
146	200.2977043
147	200.0748499
148	199.537527
149	199.1780173
150	198.9889318
151	198.730418
152	198.4517399
153	198.0137703
154	197.8206714
155	197.4032679
156	197.2554723
157	196.9668484
158	196.6123602
159	196.220535
160	195.922941
161	195.5450542
162	195.1382834
163	194.8863659
164	194.4889455
165	194.2045039
166	193.9661377
167	193.4877791
168	193.1524139
169	192.7674889
170	192.2549929
171	192.0126687
172	191.674542
173	191.2617934
174	190.8284512
175	190.5080898
176	190.2516126
177	190.0509136
178	189.7987893
179	189.2821684
180	189.049644
181	188.6422803
182	188.4818545
183	188.1301781
184	187.8429715
185	187.6147505
186	187.2157092
187	186.6842553
188	186.4509271
189	186.2815817
190	185.8663557
191	185.6859778
192	185.3198016
193	184.9029834
194	184.5516547
195	184.0391558
196	183.6905131
197	183.4604369
198	183.2926017
199	182.941072
200	182.6776694
201	182.4039094
202	182.0588587
203	181.7203851
204	181.347339
205	181.0718176
206	180.7985859
207	180.551351
208	180.1175452
209	179.9381756
210	179.7036816
211	179.2151944
212	179.0162232
213	178.6525321
214	178.3960544
215	178.0443307
216	177.6251506
217	177.4340318
218	177.1178553
219	176.8199767
220	176.5151772
221	176.3477541
222	176.0773491
223	175.769502
224	175.3382538
225	175.2241577
226	174.8693464
227	174.7072964
228	174.3991407
229	174.1427901
230	173.8911027
231	173.644668
232	173.4973254
233	173.2231508
234	173.0270601
235	172.7709679
236	172.5754181
237	172.3201952
238	172.0186861
239	171.812319
240	171.4300293
241	171.2515148
242	171.0622977
243	170.674052
244	170.5739858
245	170.4526511
246	170.3142301
247	170.0509003
248	169.8868532
249	169.6829871
250	169.3742235
251	169.1809991
252	168.9060196
253	168.536159
254	168.3507073
255	168.1204919
256	167.9420445
257	167.7317932
258	167.4196711
259	167.3257501
260	167.0355844
261	166.7748046
262	166.6888478
263	166.6285199
264	166.4770182
265	166.1655223
266	166.0941968
267	165.7289668
268	165.5380915
269	165.3505932
270	165.0301543
271	164.5991631
272	164.3403993
273	164.0768138
274	163.9695192
275	163.7849902
276	163.5364295
277	163.2746514
278	163.1240766
279	162.9366238
280	162.6458428
281	162.2284155
282	161.992654
283	161.8238138
284	161.5869276
285	161.4460177
286	161.1899504
287	161.1286335
288	160.8681957
289	160.8043084
290	160.6976691
291	160.6341524
292	160.5776488
293	160.5223596
294	160.2680556
295	160.1446004
296	160.1106724
297	159.7562733
298	159.4129585
299	158.9392844
300	158.8981468
301	158.7360591
302	158.3120098
303	158.0450128
304	157.6469639
305	157.1845622
306	157.1514893
307	156.993728
308	156.8040454
309	156.5830531
310	156.3633858
311	156.0150645
312	155.9614265
313	155.9048228
314	155.8755841
315	155.8231297
316	155.5872276
317	155.3803342
318	155.0877059
319	154.9965103
320	154.6838267
321	154.3846454
322	154.2808672
323	153.8534817
324	153.6934591
325	153.5738415
326	153.3461771
327	153.1837164
328	153.1461714
329	152.8870733
330	152.7049227
331	152.5411137
332	152.1973605
333	152.0648766
334	151.7693291
335	151.7277979
336	151.6891752
337	151.6396931
338	151.450227
339	151.1158246
340	150.9954135
341	150.6409835
342	150.6133351
343	150.5256875
344	150.2824443
345	149.9983812
346	149.7520369
347	149.6050715
348	149.4600068
349	149.1451019
350	149.0978476
351	148.9944073
352	148.9564968
353	148.746355
354	148.5271599
355	148.1672067
356	147.9887377
357	147.8966386
358	147.5985939
359	147.3882298
360	147.2411867
361	146.9892012
362	146.678147
363	146.4653007
364	146.4129421
365	146.266158
366	145.8669551
367	145.5852171
368	145.4748623
369	145.2285577
370	145.0266897
371	144.7396718
372	144.4853356
373	144.1959168
374	144.0891269
375	143.7299159
376	143.7137339
377	143.476139
378	143.3240768
379	142.9754972
380	142.9048087
381	142.7705137
382	142.6031482
383	142.393985
384	142.1340199
385	141.9370596
386	141.6876419
387	141.418652
388	141.2519768
389	141.0258919
390	140.6084623
391	140.4840068
392	140.2367164
393	140.0737522
394	139.8051044
395	139.6019207
396	139.3135259
397	139.1493325
398	138.7199008
399	138.5513848
400	138.095714
401	137.9610603
402	137.7482254
403	137.5744135
404	137.3284272
405	137.1233131
406	136.8719938
407	136.5169183
408	136.3723311
409	136.2876805
410	135.9808834
411	135.9541193
412	135.8135785
413	135.7907394
414	135.5275124
415	135.4897002
416	135.4589936
417	135.1700751
418	134.9282561
419	134.6595454
420	134.4628912
421	134.220842
422	133.9815616
423	133.7682065
424	133.5523114
425	133.3939871
426	133.2786185
427	133.0073223
428	132.7425129
429	132.4386996
430	132.2962107
431	132.1595857
432	131.873211
433	131.7377702
434	131.5711436
435	131.4612431
436	131.4351899
437	131.3927866
438	131.3467191
439	131.0842859
440	130.789388
441	130.599359
442	130.2921296
443	130.0400047
444	129.7798906
445	129.606465
446	129.30761
447	129.0791507
448	128.8093861
449	128.6355691
450	128.4745096
451	128.1566438
452	128.1384764
453	127.9717011
454	127.7959596
455	127.7751763
456	127.7507253
457	127.4984905
458	127.4739792
459	127.4268511
460	127.3227201
461	127.0695597
462	126.8206291
463	126.6608975
464	126.5733273
465	126.3701277
466	126.1293212
467	126.1156618
468	125.803065
469	125.5875277
470	125.4507854
471	125.2538678
472	125.0613361
473	124.9190098
474	124.6534375
475	124.3733125
476	124.3471112
477	124.151573
478	123.9497488
479	123.6916604
480	123.4454794
481	123.3890613
482	123.1336239
483	123.08612
484	122.8974279
485	122.5646057
486	122.4077476
487	122.1510018
488	122.1336975
489	121.9166885
490	121.5352637
491	121.3779153
492	121.0758024
493	120.8573773
494	120.6895172
495	120.4137484
496	120.3988853
497	120.151629
498	120.1272826
499	120.0170101
