iter	Passed	Remaining
0	147	73591
1	156	38878
2	164	27182
3	174	21581
4	181	17985
5	189	15623
6	197	13937
7	206	12729
8	216	11786
9	222	10905
10	228	10149
11	235	9557
12	240	9005
13	245	8518
14	250	8085
15	255	7717
16	260	7395
17	265	7121
18	271	6861
19	275	6615
20	281	6428
21	286	6232
22	292	6068
23	297	5908
24	302	5752
25	308	5615
26	313	5494
27	319	5389
28	325	5286
29	330	5171
30	335	5078
31	340	4985
32	345	4892
33	351	4815
34	356	4730
35	361	4655
36	366	4584
37	371	4520
38	376	4449
39	381	4387
40	388	4343
41	392	4285
42	398	4232
43	403	4176
44	408	4133
45	414	4090
46	420	4052
47	426	4015
48	431	3970
49	436	3930
50	441	3888
51	446	3848
52	452	3812
53	457	3778
54	462	3745
55	469	3718
56	474	3687
57	480	3660
58	485	3626
59	489	3592
60	495	3563
61	500	3532
62	505	3504
63	510	3476
64	515	3447
65	520	3425
66	525	3398
67	530	3370
68	535	3346
69	540	3317
70	544	3289
71	550	3270
72	556	3252
73	562	3235
74	568	3218
75	573	3198
76	578	3178
77	583	3158
78	590	3144
79	595	3125
80	599	3103
81	605	3086
82	610	3068
83	615	3047
84	620	3027
85	625	3012
86	631	2996
87	636	2979
88	642	2966
89	647	2950
90	652	2932
91	657	2916
92	663	2904
93	669	2891
94	675	2879
95	680	2864
96	686	2852
97	691	2835
98	696	2822
99	702	2810
100	707	2794
101	712	2780
102	718	2767
103	723	2753
104	728	2738
105	732	2724
106	737	2710
107	744	2701
108	750	2692
109	755	2677
110	759	2662
111	764	2649
112	769	2636
113	774	2623
114	779	2611
115	785	2599
116	791	2590
117	797	2581
118	803	2571
119	808	2561
120	814	2551
121	819	2539
122	824	2528
123	830	2517
124	836	2509
125	842	2500
126	846	2487
127	852	2476
128	857	2464
129	862	2454
130	867	2443
131	873	2434
132	878	2424
133	883	2413
134	889	2405
135	894	2394
136	899	2382
137	904	2372
138	910	2364
139	915	2354
140	920	2344
141	926	2334
142	931	2325
143	936	2315
144	941	2305
145	946	2294
146	951	2285
147	957	2277
148	963	2269
149	969	2262
150	974	2252
151	979	2242
152	984	2232
153	989	2223
154	995	2215
155	1000	2205
156	1006	2197
157	1012	2190
158	1017	2181
159	1022	2173
160	1028	2165
161	1033	2156
162	1039	2148
163	1044	2140
164	1051	2134
165	1055	2124
166	1062	2117
167	1067	2108
168	1072	2101
169	1078	2092
170	1082	2083
171	1087	2074
172	1093	2067
173	1098	2057
174	1103	2048
175	1108	2041
176	1113	2032
177	1119	2024
178	1125	2017
179	1130	2009
180	1135	2001
181	1140	1993
182	1146	1986
183	1153	1980
184	1158	1973
185	1165	1967
186	1170	1959
187	1175	1951
188	1181	1943
189	1187	1937
190	1192	1929
191	1197	1920
192	1202	1912
193	1208	1905
194	1212	1897
195	1218	1889
196	1223	1881
197	1227	1872
198	1233	1865
199	1237	1856
200	1243	1849
201	1248	1841
202	1253	1834
203	1260	1828
204	1265	1820
205	1270	1813
206	1275	1805
207	1281	1799
208	1287	1792
209	1292	1785
210	1298	1778
211	1303	1770
212	1308	1763
213	1313	1755
214	1319	1748
215	1324	1740
216	1328	1732
217	1333	1725
218	1338	1717
219	1343	1710
220	1348	1702
221	1352	1693
222	1357	1686
223	1362	1678
224	1367	1671
225	1373	1665
226	1379	1659
227	1383	1650
228	1389	1643
229	1395	1638
230	1400	1630
231	1406	1624
232	1411	1617
233	1416	1610
234	1422	1603
235	1428	1597
236	1433	1590
237	1438	1583
238	1445	1578
239	1451	1572
240	1456	1565
241	1461	1558
242	1466	1551
243	1472	1544
244	1477	1538
245	1482	1531
246	1488	1524
247	1494	1518
248	1499	1511
249	1505	1505
250	1510	1498
251	1517	1492
252	1523	1487
253	1528	1480
254	1533	1473
255	1538	1466
256	1544	1460
257	1550	1454
258	1555	1447
259	1560	1440
260	1565	1433
261	1571	1427
262	1575	1420
263	1580	1413
264	1586	1406
265	1591	1400
266	1597	1394
267	1603	1387
268	1608	1381
269	1613	1374
270	1618	1367
271	1624	1361
272	1630	1355
273	1635	1349
274	1641	1342
275	1647	1336
276	1652	1330
277	1658	1324
278	1664	1318
279	1670	1312
280	1675	1305
281	1680	1299
282	1685	1292
283	1690	1285
284	1695	1278
285	1699	1271
286	1705	1265
287	1710	1259
288	1715	1252
289	1720	1245
290	1725	1239
291	1730	1232
292	1736	1227
293	1742	1220
294	1748	1214
295	1753	1208
296	1757	1201
297	1763	1195
298	1768	1189
299	1773	1182
300	1778	1176
301	1783	1169
302	1789	1163
303	1794	1157
304	1800	1150
305	1805	1144
306	1810	1137
307	1814	1131
308	1819	1124
309	1824	1118
310	1830	1112
311	1834	1105
312	1839	1098
313	1844	1092
314	1848	1085
315	1855	1080
316	1860	1073
